complaint_text,department,category,priority,clean_text
"Potholes on the road to cremation ground, hearses getting stuck mid-journey.",Roads,Pothole,Medium,"potholes on the road to cremation ground, hearses getting stuck midjourney."
Water-filled potholes hiding sharp edges have damaged multiple car tyres this week.,Roads,Pothole,Medium,waterfilled potholes hiding sharp edges have damaged multiple car tyres this week.
The road in front of the municipality office itself has embarrassing potholes.,Roads,Pothole,Medium,the road in front of the municipality office itself has embarrassing potholes.
Potholes near the metro construction site are making an already congested route worse.,Roads,Pothole,Medium,potholes near the metro construction site are making an already congested route worse.
"Large pothole near the bus stop platform, passengers stepping into it while boarding.",Roads,Pothole,Medium,"large pothole near the bus stop platform, passengers stepping into it while boarding."
Series of connected potholes creating a trench across the road near Sector 7.,Roads,Pothole,Medium,series of connected potholes creating a trench across the road near sector 7.
"Pothole damages have cost me three tyre repairs this month alone, unacceptable.",Roads,Pothole,Medium,"pothole damages have cost me three tyre repairs this month alone, unacceptable."
The approach road to the new IT park is already riddled with potholes.,Roads,Pothole,Medium,the approach road to the new it park is already riddled with potholes.
Senior citizens are afraid to cross the road due to multiple potholes near the park.,Roads,Pothole,Medium,senior citizens are afraid to cross the road due to multiple potholes near the park.
"Pothole near the electric pole has exposed some wires, dual hazard there.",Roads,Pothole,Medium,"pothole near the electric pole has exposed some wires, dual hazard there."
"Rain has worsened the pothole situation on MG Road, almost undriveable now.",Roads,Pothole,Medium,"rain has worsened the pothole situation on mg road, almost undriveable now."
My two-wheeler's suspension is completely damaged due to daily pothole jolts.,Roads,Pothole,Medium,my twowheelers suspension is completely damaged due to daily pothole jolts.
Potholes turning the weekly market area into an obstacle course for shoppers.,Roads,Pothole,Medium,potholes turning the weekly market area into an obstacle course for shoppers.
Giant pothole near the cinema hall has been barricaded but not repaired for months.,Roads,Pothole,Medium,giant pothole near the cinema hall has been barricaded but not repaired for months.
Children walking to school have to navigate around dangerous potholes on the main road.,Roads,Pothole,Medium,children walking to school have to navigate around dangerous potholes on the main road.
"The road near the slaughter house has deep potholes filled with blood and rainwater, disgusting.",Roads,Pothole,Medium,"the road near the slaughter house has deep potholes filled with blood and rainwater, disgusting."
"Pothole right at the corner is invisible until you're on it, many accidents reported.",Roads,Pothole,Medium,"pothole right at the corner is invisible until youre on it, many accidents reported."
Emergency vehicles getting delayed due to pothole-riddled roads in our ward.,Roads,Pothole,Medium,emergency vehicles getting delayed due to potholeriddled roads in our ward.
"Recurring pothole at the same spot every monsoon, permanent solution needed.",Roads,Pothole,Medium,"recurring pothole at the same spot every monsoon, permanent solution needed."
"Road surface near the dairy has completely disintegrated, large cracks everywhere visible.",Roads,Road Damage,Medium,"road surface near the dairy has completely disintegrated, large cracks everywhere visible."
Heavy trucks have destroyed the road leading to the industrial area beyond recognition.,Roads,Road Damage,Medium,heavy trucks have destroyed the road leading to the industrial area beyond recognition.
The entire stretch of road past the level crossing is broken into large concrete slabs.,Roads,Road Damage,Medium,the entire stretch of road past the level crossing is broken into large concrete slabs.
"Road caves in near the drainage line, portion has collapsed dangerously.",Roads,Road Damage,Medium,"road caves in near the drainage line, portion has collapsed dangerously."
Severe undulation and rutting on the road near the wholesale market.,Roads,Road Damage,Medium,severe undulation and rutting on the road near the wholesale market.
The road surface is peeling off in large sheets near the new construction site.,Roads,Road Damage,Medium,the road surface is peeling off in large sheets near the new construction site.
Deep longitudinal crack running through the middle of the main road is widening daily.,Roads,Road Damage,Medium,deep longitudinal crack running through the middle of the main road is widening daily.
Exposed aggregate on the road surface near the temple causing severe tyre wear.,Roads,Road Damage,Medium,exposed aggregate on the road surface near the temple causing severe tyre wear.
"Road has completely collapsed near the bridge approach, traffic diverted for days.",Roads,Road Damage,Medium,"road has completely collapsed near the bridge approach, traffic diverted for days."
The tarred road has turned into gravel road near the quarry truck route.,Roads,Road Damage,Medium,the tarred road has turned into gravel road near the quarry truck route.
"The edge of the road near the canal has completely eroded, only half lane remains.",Roads,Road Damage,Medium,"the edge of the road near the canal has completely eroded, only half lane remains."
